Sample_No,image_no,moisture,soil_type,soc,SI,luv_v,median_h,mean_r,CI,luv_u,median_s,xyz_Z,homogeneity
18,409,13.6,1,1.27,1.040482893,25.91662164,19,147.7885244,0.360561569,15.06238605,95,0.137635983,0.024429315
18,410,13.6,1,1.27,1.063066918,23.42426766,19,145.2157605,0.366069629,13.47004207,85,0.144366472,0.023852292
18,411,13.6,1,1.27,1.050304698,24.14466387,19,148.3921596,0.379747326,13.79501163,86,0.150365819,0.023658399
18,412,13.6,1,1.27,1.109690562,26.29579292,19,153.3855827,0.358627886,14.32201918,89,0.156329281,0.022697084
18,413,13.6,1,1.27,1.046712481,25.74077791,19,151.3532167,0.352176314,14.62132352,90,0.150730494,0.023110583
18,414,13.6,1,1.27,1.025876019,25.51209422,19,149.9690091,0.346255277,14.38708776,90,0.148165094,0.023100621
18,415,13.6,1,1.27,1.005928474,25.76788594,19,152.8766342,0.329336906,13.58744699,86,0.159591703,0.023058701
19,416,19.4,2,2.51,0.926818701,21.79687927,17,156.885523,0.356736754,14.28304648,77,0.184728441,0.027889746
19,417,19.4,2,2.51,0.799875947,19.90221813,17,149.3391661,0.311967265,12.66110252,73,0.173165196,0.025316514
19,418,19.4,2,2.51,0.7823793,19.57178653,17,148.7902384,0.317031217,12.7038021,73,0.172346111,0.025525504
19,419,19.4,2,2.51,0.918880783,22.91781978,18,150.7627152,0.321621785,13.1502687,80,0.164866087,0.026772811
19,420,19.4,2,2.51,0.898362932,22.47752944,18,151.7302097,0.322064198,13.26748063,79,0.169145668,0.025599988
19,421,19.4,2,2.51,0.793090204,19.71077625,17,144.8659319,0.326873465,12.95198551,76,0.158041371,0.031001717
19,422,19.4,2,2.51,0.915463058,22.05889207,17,154.0856784,0.382447185,15.26592395,81,0.170047371,0.024282385
19,423,19.4,2,2.51,0.886945866,21.70824557,17,153.6492148,0.367383765,14.63347065,79,0.172538145,0.023882846
19,424,19.4,2,2.51,0.889255997,21.78767103,17,150.8523796,0.359472661,14.1457025,80,0.165078189,0.023534356
19,425,19.4,2,2.51,1.072481587,26.83958192,18,158.7376834,0.393790359,16.51424788,91,0.162660097,0.021649125
19,426,19.4,2,2.51,1.11073297,25.58730751,18,153.8251156,0.407360731,16.05483979,91,0.153360603,0.027332602
20,427,18.6,2,2.77,0.974345693,23.13515702,18,149.9700056,0.342642239,13.60275552,83,0.159655881,0.026861324
20,428,18.6,2,2.77,1.128894731,26.65712777,19,152.948282,0.371420203,15.34780184,94,0.149615195,0.022148656
20,429,18.6,2,2.77,1.167044601,28.37732976,19,153.693758,0.36525404,15.05847847,97,0.146966143,0.024422744
20,430,18.6,2,2.77,1.250361021,28.73763809,19,155.2169962,0.419546908,16.47613523,100,0.144925814,0.026238905
